kashi_pair,kashi_pair_address,asset_address,asset_symbol,asset_decimals,collateral_address,collateral_symbol,collateral_decimals
kmVAI/Cake-LINK,0x814f08c312888bef20ecf53c43dc87b110b6b95d,0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82,Cake,18,0x4bd17003473389a42daf6a0a729f6fdb328bbbd7,VAI,18
kmDOT/WBNB-LINK,0x82871531bc86435cdf8596881427a822475b88e8,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,WBNB,18,0x7083609fce4d1d8dc0c979aab8c869ea2c873402,DOT,18
kmDOT/ETH-LINK,0x8581a217374d41d52c87c0592f6efa68a3fc9fb7,0x2170ed0880ac9a755fd29b2688956bd959f933f8,ETH,18,0x7083609fce4d1d8dc0c979aab8c869ea2c873402,DOT,18
kmDOT/DAI-LINK,0x89342aabee528e70bf6cc9cb5a669f16dce7f67e,0x1af3f329e8be154074d8769d1ffa4ee058b1dbc3,DAI,18,0x7083609fce4d1d8dc0c979aab8c869ea2c873402,DOT,18
kmUSDC/WBNB-LINK,0x8b392464177a398e209283f444678fd73a430017,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,WBNB,18,0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d,USDC,18
kmXRP/XVS-LINK,0x8cdad6ff25c2366e3a6925e0edbde51aab2f7f9b,0xcf6bb5389c92bdda8a3747ddb454cb7a64626c63,XVS,18,0x1d2f0da169ceb9fc7b3144628db156f3f6c60dbe,XRP,18
kmBTCB/WBNB-LINK,0x8d35e0e3110fdd0dc09fc7a64a918ca29804ed11,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,WBNB,18,0x7130d2a12b9bcbfae4f2634d864a1ee1ce3ead9c,BTCB,18
kmADA/USDC-LINK,0x8e7d5f01dd0b8ea1b0ba566977cc10d6caa05fe5,0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d,USDC,18,0x3ee2200efb3400fabb9aacf31297cbdd1d435d47,ADA,18
kmBUSD/DOT-LINK,0x8f0a4ee80171c531c41cb5de2857f88724b2e864,0x7083609fce4d1d8dc0c979aab8c869ea2c873402,DOT,18,0xe9e7cea3dedca5984780bafc599bd69add087d56,BUSD,18
kmBTCB/BUSD-LINK,0x8fed0a877ce48a493f32d2a769cb2ee496f9d12f,0xe9e7cea3dedca5984780bafc599bd69add087d56,BUSD,18,0x7130d2a12b9bcbfae4f2634d864a1ee1ce3ead9c,BTCB,18
kmBUSD/YFI-LINK,0x916d375f4bc497c8a5c283292aa24a3d0e119528,0x88f1a5ae2a3bf98aeaf342d26b30a79438c9142e,YFI,18,0xe9e7cea3dedca5984780bafc599bd69add087d56,BUSD,18
kmUNI/USDT-LINK,0x937587a070f132fedf76873a17317ca533c99368,0x55d398326f99059ff775485246999027b3197955,USDT,18,0xbf5140a22578168fd562dccf235e5d43a02ce9b1,UNI,18
kmUSDT/BUSD-LINK,0x9788760cb03369ac87b5b7d5181a54151f1f7347,0xe9e7cea3dedca5984780bafc599bd69add087d56,BUSD,18,0x55d398326f99059ff775485246999027b3197955,USDT,18
kmBUSD/USDC-LINK,0x97f01f3cb7761dc951d1504ad01fc2c941a2a8ef,0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d,USDC,18,0xe9e7cea3dedca5984780bafc599bd69add087d56,BUSD,18
kmFIL/BUSD-LINK,0x98edb08f207442a97e394dd0bb37b340181636aa,0xe9e7cea3dedca5984780bafc599bd69add087d56,BUSD,18,0x0d8ce2a99bb6e3b7db580ed848240e4a0f9ae153,FIL,18
kmADA/LINK-LINK,0x994717ae1fd9257662d1a8fa871d5e2ec69deda9,0xf8a0bf9cf54bb92f17374d9e9a321e6a111a51bd,LINK,18,0x3ee2200efb3400fabb9aacf31297cbdd1d435d47,ADA,18
kmBTCB/Cake-LINK,0x9b29d9884c0577631fe479ee2d800995296463f8,0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82,Cake,18,0x7130d2a12b9bcbfae4f2634d864a1ee1ce3ead9c,BTCB,18
kmWBNB/DAI-LINK,0x9b98e301e7c4a071865b8948998a6279a8ec112a,0x1af3f329e8be154074d8769d1ffa4ee058b1dbc3,DAI,18,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,WBNB,18
kmBAND/BUSD-LINK,0x9c66ab21bb953ca19b654088dcc3974597876d1c,0xe9e7cea3dedca5984780bafc599bd69add087d56,BUSD,18,0xad6caeb32cd2c308980a548bd0bc5aa4306c6c18,BAND,18
kmUSDT/BAND-LINK,0x9d4032ba814cd49085c991e787585d4b4581417a,0xad6caeb32cd2c308980a548bd0bc5aa4306c6c18,BAND,18,0x55d398326f99059ff775485246999027b3197955,USDT,18
kmETH/DAI-LINK,0x9d90116ef98d8e72382553f0e801be70b9f4497e,0x1af3f329e8be154074d8769d1ffa4ee058b1dbc3,DAI,18,0x2170ed0880ac9a755fd29b2688956bd959f933f8,ETH,18
kmBUSD/BCH-LINK,0x9d978e53aa8fcf333a92ca75be2116f2d229700a,0x8ff795a6f4d97e7887c79bea79aba5cc76444adf,BCH,18,0xe9e7cea3dedca5984780bafc599bd69add087d56,BUSD,18
kmBUSD/EOS-LINK,0x9e26ef37f574caaf3fb75ff82f89c57b7b1d4c13,0x56b6fb708fc5732dec1afc8d8556423a2edccbd6,EOS,18,0xe9e7cea3dedca5984780bafc599bd69add087d56,BUSD,18
kmDOT/BUSD-LINK,0x9fe8a186b5b96993e4c5518a517913b86fff93d7,0xe9e7cea3dedca5984780bafc599bd69add087d56,BUSD,18,0x7083609fce4d1d8dc0c979aab8c869ea2c873402,DOT,18
kmBUSD/XRP-LINK,0xa196c89f682a6812b84baac3cfd66b9aca91aeeb,0x1d2f0da169ceb9fc7b3144628db156f3f6c60dbe,XRP,18,0xe9e7cea3dedca5984780bafc599bd69add087d56,BUSD,18
kmADA/ETH-LINK,0xa1b7857a655087143634d837437c687843b2f5ae,0x2170ed0880ac9a755fd29b2688956bd959f933f8,ETH,18,0x3ee2200efb3400fabb9aacf31297cbdd1d435d47,ADA,18
kmBUSD/DOGE-LINK,0xa45f785f6aa81660cd59d9dfa18baa4e1115f49c,0xba2ae424d960c26247dd6c32edc70b295c744c43,DOGE,8,0xe9e7cea3dedca5984780bafc599bd69add087d56,BUSD,18
kmWBNB/DOT-LINK,0xa771d1d52b1539bdecb7202bf4d77a47b9b2ba24,0x7083609fce4d1d8dc0c979aab8c869ea2c873402,DOT,18,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,WBNB,18
kmWBNB/VAI-LINK,0xa7769e8fb2a770f5eca94704d1f6c6b5fc6758b5,0x4bd17003473389a42daf6a0a729f6fdb328bbbd7,VAI,18,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,WBNB,18
kmCake/WBNB-LINK,0xaf9ee63b470621920e52da06d360b65048f97fa6,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,WBNB,18,0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82,Cake,18
kmWBNB/BUSD-LINK,0xafa2526f518956a1fe1ff6f3aef9a90007a64052,0xe9e7cea3dedca5984780bafc599bd69add087d56,BUSD,18,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,WBNB,18
