swap_pair,swap_pair_address,liquidity_USD,token_0_symbol,token_0_address,token_0_decimals,token_0_totalSupply,token_1_symbol,token_1_address,token_1_decimals,token_1_totalSupply
BUSD-EGG,0xaab874d5b650c1d97697c35a2b3ca2a8848e7c3b,2.271,BUSD,0xe9e7cea3dedca5984780bafc599bd69add087d56,18,29672,EGG,0xf952fc3ca7325cc27d15885d37117676d25bfda6,18,18792
FSTE-WBNB,0x0a4017bb2874d1ad419eba6d84bb541dbe2c197f,3.545,FSTE,0xb41aafba44e7255e48e606286af313dfb46b7e23,18,18792,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048
WHT-WBNB,0xd8334103187c6b334deaf9e453ad7fc0e8672e96,5.758,WHT,0x768e2f1ef63b97368ab2a606658d411d9630945f,18,18792,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048
ESCTO-WBNB,0xd0157242dd12bc12f53c7a63740c27991ba1919b,4.918,ESCTO,0x789ed638afd88c42e9646e7ce5fb797b6c9cd9b0,2,18792,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048
QARI-WBNB,0x766100b6b919ae8bafd3386f8e81501cdb0e1485,2.29,QARI,0x63660473590dbc39722c199504652b6c2bcc490a,18,18792,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048
SHIB-WBNB,0x9084e4850cdf7b2c06b3fb3eea173228d5cf2a4a,2.856,SHIB,0x2859e4544c4bb03966803b044a93563bd2d0dd4d,18,18792,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048
L-HUS-WBNB,0xf4d2af92aacff5ce1b54c504edc89cd147f38400,5.864,L-HUS,0xafc4a3d0fdd8b1cc6704ea1db3a11ae030ca6f74,9,18792,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048
SCOL-WBNB,0x43cc48795fafc1bd9bd6b6c5077f8f12fd7b2967,2.385,SCOL,0x703477125bbee6430b2c4968c1ef66701a01359f,18,18792,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048
RAILBSC-WBNB,0x615f0256ff2d756da91b4e34a9ed0052b98c033e,2.605,RAILBSC,0x3f847b01d4d498a293e3197b186356039ecd737f,18,18792,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048
WBNB-BPRCY,0xe0dfa87d84671e6c8073c4ac752894093214f825,1.816,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048,BPRCY,0xdfc3829b127761a3218bfcee7fc92e1232c9d116,8,18792
DMC2-WBNB,0xea94922c0cb7f24c71ce148582b5460ee41af779,3.35,DMC2,0x90e26680542a352c5a719762e40f52de554455c6,9,18792,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048
WBNB-HLDY,0xe10def910aaddd894403b89f4fa2457169e460be,4.877,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048,HLDY,0xccdeb56101ee40fad41135ed1a5e95aac7a1a8dd,18,18792
CAKF-WBNB,0x335bd126ed44f401cf34e604ac4d46dbc7557adb,3.501,CAKF,0xae6e3b04d3eb991e30fa2474563fe2a89e351cda,18,18792,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048
BTC-WBNB,0xc9424556a17e70a2f6f54ca8deee02000245d2c0,4.267,BTC,0x947db82d5c0c26a060fb1690829e12f323f300c0,18,18792,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048
JKF-BUSD,0x7c6a782ec6fb7e6fba0816f1b81140a619a5fb96,1.738,JKF,0x20cc0f8139663d0233def10f9b3130588ffc66a9,9,18792,BUSD,0xe9e7cea3dedca5984780bafc599bd69add087d56,18,29672
CHEESE-BUSD,0xce8f28c3bcd305a934739015ada093f78a0e7b46,2,CHEESE,0xb4bf64b17e270b50d00658e3c0e2fbdefabdd87b,18,18792,BUSD,0xe9e7cea3dedca5984780bafc599bd69add087d56,18,29672
SHWA-WBNB,0x28f410a5cec9c2ab0a76489f800f9fc4215c18c3,2.252,SHWA,0x7b8274ccecd5bbcfe18958c3db6471c5e3e1fbbf,18,18792,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048
SPACE-BUSD,0xdb8e0d594d030774c6e541d5a279115784b0c9fc,1.485,SPACE,0x0abd3e3502c15ec252f90f64341cba74a24fba06,18,18792,BUSD,0xe9e7cea3dedca5984780bafc599bd69add087d56,18,29672
WBNB-CRH,0xdf38695cf1234c6acc09874176a8f3414a328e31,3.346,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048,CRH,0xc3fc3ca8a15d3ec568d050facc8a3b301c34cdc7,18,18792
KOMI-ETH,0x21ea17c287d204ebc232b75af1ab159ed3116c64,3.068,KOMI,0x1aaff265bcad17e6bcf508e1a60699a4c08affe6,18,18792,ETH,0x2170ed0880ac9a755fd29b2688956bd959f933f8,18,18792
t7-WBNB,0xbbe3205a269546a52139b43b4382f2922a5b5dc2,2.517,t7,0x895ae89757d68ac630de6b10c84aff0c382fbbb5,18,18792,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048
WPKT-WBNB,0x99fbcdb5a94365bab1b44eb7d6caebe98050deb8,1.736,WPKT,0x1c25222994531c4ac35e4d94bbf7552c9aa92e32,18,18792,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048
HAM-WBNB,0xc2593e02bde03edd37eea6660ff17b61f2daadf2,1.809,HAM,0xb7b36ca86685af52186f1f9394e91d115a9da654,18,18792,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048
MERICA-BUSD,0x2e7b739f99a713f45af006d283f04adb396686c3,2.031,MERICA,0xc466fcfb742ee24b4894b130f211e6adb653514b,15,18792,BUSD,0xe9e7cea3dedca5984780bafc599bd69add087d56,18,29672
WBNB-GANG,0x00009fe101adbe034f40d4e2bdefd55ed10d7c18,2.65,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048,GANG,0xcdf57e9ff88c1aa90c2b8f744e682b23fbbc8a13,18,18792
elons sock-WBNB,0xbdad4e2111fe5664df68e4c826192dfbe8c72ba0,2.498,elons sock,0x384d2ad03706bedec502a61a2bbea3041b22feb2,9,18792,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048
MHAM-WBNB,0x81bf9b987b3a8c2ffdf3b5bfc5bc0fee4f990b80,2.65,MHAM,0xade6dd2f7d3b45e726f74bb50b65bef86b2f5b17,18,18792,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048
1INCH-WBNB,0xdc9f43c77316f5b4915678d213ef514711fe03e6,1.822,1INCH,0x111111111117dc0aa78b770fa6a738034120c302,18,18792,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048
QAA-WBNB,0x8b42c546b8751482182994ffea0fd5dc6f742150,1.658,QAA,0x5959e5baa4dc2b78a4aad0e6a3b61f0141191004,13,18792,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048
BUSD-UIX,0x84f02ecb8586bf314acf55c4c7905e3045cbaed7,1.68,BUSD,0xe9e7cea3dedca5984780bafc599bd69add087d56,18,29672,UIX,0xfaa23d94beb8e1320932bf292a5ce3f5b76c9343,18,18792
LAND-BUSD,0xef228ea70337a6d52d9ee11c18344a84e668f3f9,1.438,LAND,0x042e5ff5759206977a2b398451a71b5da5279d66,3,18792,BUSD,0xe9e7cea3dedca5984780bafc599bd69add087d56,18,29672
WBNB-WOOFY,0x5f987b51e63bcb0dfc85ec633f5dce6ba31e8a8f,2.78,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048,WOOFY,0xd0660cd418a64a1d44e9214ad8e459324d8157f1,12,18792
XMN-WBNB,0xc9d5b48941d3fed7a6890ea185e080a26e17e5ea,1.84,XMN,0x1ee241a736d2ca587b09333989ded271a3ebe213,9,18792,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048
USDT-ARV,0xcecccd6ca3851e30a9955ae40e4e95de3e25870a,3.632,USDT,0x55d398326f99059ff775485246999027b3197955,18,19168,ARV,0x6679eb24f59dfe111864aec72b443d1da666b360,8,18792
THCF-WBNB,0x7c4e7cfaee53f1919587d71b4ab78b37eaefef79,1.886,THCF,0x58440565fef5e558ffd1078e3e6ec3e3e80598c9,18,18792,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048
NABOX-BUSD,0x1087aed92c5329099ac9ee76ef9c14058c2803de,1.362,NABOX,0x755f34709e369d37c6fa52808ae84a32007d1155,18,18792,BUSD,0xe9e7cea3dedca5984780bafc599bd69add087d56,18,29672
MEME-WBNB,0x09cfa400a92376d19a309d469f9e4e8bcb38f7ef,3.763,MEME,0x0325fd8385403207b4923549012c591964f85b60,16,18792,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048
WBNB-BNB GOLD,0x675d409ccc74693f1fed8de6a339aa1f23fce24b,2.655,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048,BNB GOLD,0xc836dcc9c880d4558c301e6d439db1b1dcaf7f3a,18,18792
USDT-BORING,0x70216c64bde32c04563747df9e80c4721e3e3fa1,1.745,USDT,0x55d398326f99059ff775485246999027b3197955,18,19168,BORING,0xffeecbf8d7267757c2dc3d13d730e97e15bfdf7f,18,18792
PCST-BUSD,0xa2c289a04b395bb5728141d89b920bb9a0a5ed35,3.009,PCST,0xaa52aec4d06dcb4709be8561dd883dc611b4ead2,18,18792,BUSD,0xe9e7cea3dedca5984780bafc599bd69add087d56,18,29672
USDC-BUSD,0x6ef7d3e45c92b6cb0a1840ecc82377ebd045faef,3.38,USDC,0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d,18,18792,BUSD,0xe9e7cea3dedca5984780bafc599bd69add087d56,18,29672
NFTD-WBNB,0x3ae0bb46513f44364dbedaa5b4be4858c212124f,1.842,NFTD,0x5733131b5827bd29097da7796dd5e8145198ab47,8,18792,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048
RSD-WBNB,0xa3da91c1e9aa429341b99ac49a3b840d7f2f7957,2.241,RSD,0x61ed1c66239d29cc93c8597c6167159e8f69a823,18,18792,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048
WPKT-BUSD,0x96d729f6dcf2871a4a808200b245e2edecc99cd4,1.028,WPKT,0x1c25222994531c4ac35e4d94bbf7552c9aa92e32,18,18792,BUSD,0xe9e7cea3dedca5984780bafc599bd69add087d56,18,29672
USDT-DAT,0x896950d88fb9e8d90ad18ee027c46a063275ece1,1.999,USDT,0x55d398326f99059ff775485246999027b3197955,18,19168,DAT,0x679684d93309022d345134cd9428612a750ce843,18,18792
XBB-WBNB,0x03825b0f63cb6cbb967d56c39858ff4e6e0f2cfb,1.971,XBB,0x534df40842ce345efa18736f0522e83041d686e2,18,18792,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048
STOCKNFT-WBNB,0x49c50300ec9b45864218393b50b55c759331ef46,2.435,STOCKNFT,0x5172458a900de2b32b2d790e6768958e8eb135df,18,18792,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048
DEP-WBNB,0x2c6cdd537dfcc3a8ef245ae85a8de7711a731dc6,1.349,DEP,0x7ba9ea839267b4dc93625386173ee9d1d14564fb,18,18792,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048
CTT-USDT,0x33016e7a99b821d65799038955dd5a508d6e4988,1.186,CTT,0x1cdd4fb11dfde0e7641f210b3e08c13505feb223,18,18792,USDT,0x55d398326f99059ff775485246999027b3197955,18,19168
BMNY-WBNB,0x8d83ecc6d447c75c77a5eb6c0bc65b3aa7209b64,1.97,BMNY,0x204bf7a89256b9e550ef715fd8d577dd906a8a91,8,18792,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048
CUMMIES-WBNB,0x888fbafe32481dfeab60d8aef0457a036f53de79,1.28,CUMMIES,0x27ae27110350b98d564b9a3eed31baebc82d878d,18,18792,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048
XZZ-WBNB,0x2ed3f5b4adcea7fff5c87fbba7a321d7a0deebb8,1.373,XZZ,0xaac8976b364803c96c406628392fa57f50886d1a,18,18792,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048
WBNB-BORING,0x539197207fa05467ed97c3ec93c8d3d7a26b0473,1.266,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048,BORING,0xffeecbf8d7267757c2dc3d13d730e97e15bfdf7f,18,18792
ELE-WBNB,0x17f484257cc1e7b4a11a3dec7d9660f6e47183b9,1.488,ELE,0xacd7b3d9c10e97d0efa418903c0c7669e702e4c0,18,18792,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048
$HD-WBNB,0x616e29bcc81f08a93901aca7768cd553379eebf1,1.844,$HD,0xa27895467940fe37e461046870db5235b5977103,18,18792,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048
LOOK-WBNB,0xc86c8ac8d1714d00c971756e36558c9f1512d6cb,1.218,LOOK,0x73cba57ad8bc775a5345d9a0de2e90c74621d802,18,18792,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048
AUR-WBNB,0x23309cb579e05fb8793a60f663937dba62bd522b,1.054,AUR,0x18aa037991eacf68b8126a4860e59b527e5c0523,18,18792,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048
LTN-WBNB,0xdfb0d53425ad056aaf77f27a57ecf955b17b493c,1.389,LTN,0x1d49b39af9fbcfa439266504c19f3bcb3458bdba,18,18792,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048
AQUAGOAT-WBNB,0xc6238f3b64354826a34e98551d158cbaa58a8861,2.282,AQUAGOAT,0x07af67b392b7a202fad8e0fbc64c34f33102165b,9,18792,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048
USDT-TWAKE,0xce582f2d9984c0df822c4d29082d5ffe0240ecef,1.008,USDT,0x55d398326f99059ff775485246999027b3197955,18,19168,TWAKE,0xb662e3c3b4e35cba797323f17abfce6692d3156d,10,18792
ASTRO-WBNB,0x1aa55179d849219635439e86dfb98501780de6b8,1.287,ASTRO,0x42f538ec277a4cd12eafe5367f48043a51dc1711,9,18792,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048
WBNB-X2P,0x751a2016d62784247f3be066067c5eb997675c04,1.514,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048,X2P,0xdfd85305a752d70a07a995fa724ac4ff787ebef2,9,18792
BANANA-WBNB,0x3322f0b8e3b3b4f41c796a93eaa99ad5b1102b90,1.251,BANANA,0x603c7f932ed1fc6575303d8fb018fdcbb0f39a95,18,18792,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048
BGO-BUSD,0x94ebea64112a5fffcfb60bdb81a32a1b53701486,1.914,BGO,0x579a6277a6c2c63a5b25006f63bce5dc8d9c25e7,18,18792,BUSD,0xe9e7cea3dedca5984780bafc599bd69add087d56,18,29672
BTT-BUSD,0xb0e8495886097330e70ced3b6c978eed4802a0f2,1.13,BTT,0x8595f9da7b868b1822194faed312235e43007b49,18,18792,BUSD,0xe9e7cea3dedca5984780bafc599bd69add087d56,18,29672
ETH-FPC,0xf4763fb8d06687c607734c55a8728f02f0d72f92,2.086,ETH,0x2170ed0880ac9a755fd29b2688956bd959f933f8,18,18792,FPC,0xf7a4a4d8d8d1b5ddf39bcfc24a55ed99e56e107a,18,18792
STEK-WBNB,0x8af164b82a30f2b3453b36c717dbebb008218f47,1.537,STEK,0x6cc9e4423258a97598f865a1b6acde76a6b81b7b,8,18792,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048
TRCH-WBNB,0x7412a030c9f7b6eaf82e47d3e89281b499fcb5fa,1.598,TRCH,0x9e5a4e0585ff34acb89f4ef161b25ebe3977e35c,18,18792,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048
SUN-WBNB,0x3be990b86e2c065f34a35c9cc34370fac8deeeda,1.146,SUN,0xa1e6c58d503e4eee986167f45a063853cefe08c3,18,18792,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048
ARIEUM-WBNB,0x83e455d6e37c720d1077d7fa69430a82be33c73d,1.754,ARIEUM,0x21e1a76fd42adada77262319ceca6416c306a57a,18,18792,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048
USDT-UIX,0xf67d8d2387a16eef7c2cd4444eb15114e9d3653d,1.096,USDT,0x55d398326f99059ff775485246999027b3197955,18,19168,UIX,0xfaa23d94beb8e1320932bf292a5ce3f5b76c9343,18,18792
DAI-BUSD,0x1f4b7721643bbff495dc668e4f950518a0bc74a7,2.269,DAI,0x1af3f329e8be154074d8769d1ffa4ee058b1dbc3,18,29672,BUSD,0xe9e7cea3dedca5984780bafc599bd69add087d56,18,29672
wCCX-BUSD,0xb7b236c4d6201fadf125cd989090425ed73525fd,0.73,wCCX,0x988c11625472340b7b36ff1534893780e0d8d841,6,18792,BUSD,0xe9e7cea3dedca5984780bafc599bd69add087d56,18,29672
PHO-WBNB,0xc35de4667573e6d4822dbfd204b5012d9a478f1c,1.034,PHO,0xb9784c1633ef3b839563b988c323798634714368,8,18792,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048
BEP40-WBNB,0x581aba127d685e547c5de671ea869a413943c7bf,1.018,BEP40,0xa9e054014defa5bff26b7baef53a2d7faf997929,9,18792,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048
REDFLOKI-WBNB,0x4c8e6b250fdb6049341b89fa1fa24417eb8e6299,1.071,REDFLOKI,0x2a3e1d095f2902c9b6da1bff7813a7b2fc65c3da,9,18792,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048
SQ-WBNB,0xf07ce11a10db3f95d0cdef91fa16feddfa8be894,1.869,SQ,0x55b9fc7b66cc90fb425a4f7ef5cd97047d40362b,18,18792,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048
WBNB-SolVrt,0x08cf01b91fbaa45bcb6a16660012274c3770e6fc,0.983,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048,SolVrt,0xf3628cfeec4e5cc4e3356c693d7d56a700b2cf1f,18,18792
T1-WBNB,0xa2fc9a5d229f015a33f2dc2f984ffbe36811563e,0.703,T1,0x65212c21706424b3d8b5524897cd4a28040d7743,18,18792,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048
BINC-WBNB,0xf3a830aa128829f3372fd565d525f513a4ff16e7,0.903,BINC,0x01cd703bc5d4f075ebf691f55fb6b6d255dc5a02,12,18792,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048
WPKT-USDT,0x9a34d8c5325144ceba0dd3a530a34b8e99c60235,1.016,WPKT,0x1c25222994531c4ac35e4d94bbf7552c9aa92e32,18,18792,USDT,0x55d398326f99059ff775485246999027b3197955,18,19168
WBNB-SHIBYIELD,0x17a8490558e9d2dbc478c540f5b94c6d95e328fa,3.516,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048,SHIBYIELD,0xf114d9fe85f457e5923ae96bd0741a2fcf967907,8,18792
CCN-WBNB,0x71cfd2e1dd346353dd7b0477b4a4a85241fd48a0,0.764,CCN,0x721f40adc793e951edf2ece86376e7a103211252,12,18792,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048
WBNB-JLC,0x961c8c6bf638fd6106964ff3d221634b42b7e2d2,0.909,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048,JLC,0xd6fcd6517c2ac3253f17cc5097781b0042b79761,9,18792
BAND-WBNB,0x8dfb6fafb2d0439e6f683675df0f78b7e5b19151,0.898,BAND,0xad6caeb32cd2c308980a548bd0bc5aa4306c6c18,18,18792,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048
HYPERETH-WBNB,0x57534c138077362690523a6a9538886267fe8cc3,1.117,HYPERETH,0x994abfa01565232fac6a5bb5b8ed8d52a79f508c,18,61560,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048
Charge-BUSD,0x3aa97980bff3eda751e349f3342ec56882e95648,0.931,Charge,0x1c6bc8e962427deb4106ae06a7fa2d715687395c,18,18792,BUSD,0xe9e7cea3dedca5984780bafc599bd69add087d56,18,29672
RTO-WBNB,0xfeabe1dae8b0fcab0a0d46db6ab17faa347cecea,1.226,RTO,0xaefcb0411c83b5422fcf122efea6d262d2455012,9,18792,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048
Cake-LP-WBNB,0x50571b77b38bf072d3f9d508c17dc4eb9729c0f0,0.725,Cake-LP,0x7618fdab208ae23690dadd3aa4a42a442313d24e,18,18792,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048
chivo-WBNB,0x7f768f16eacca686995f5a81ac0a17c8c88b6f6c,0.985,chivo,0x6c07fdd789e58eae94c329239d58628c35a6a481,18,18792,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048
PVU-WBNB,0x473ccbf7dd55e9115dfc0c44dfa89ba576a73caa,0.863,PVU,0x31471e0791fcdbe82fbf4c44943255e923f1b794,18,18792,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048
USDT-C79,0x2aa1b33a42baf2780124ac01431cdb69ade10c47,1.001,USDT,0x55d398326f99059ff775485246999027b3197955,18,19168,C79,0xef59cb8adc38cadd8c97fde1ea2746e18882b733,18,18792
WBNB-jnt,0xbcb0ce3e31eb9528e872b3bb0abd4d20ad68dc8b,0.766,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048,jnt,0xbf217a945de65cbaba151b30a88c4b80fa8c1723,18,18792
BIFI-BUSD,0x24d06e2c93c044ff35db8ebdffd185aac801b51b,0.649,BIFI,0xca3f508b8e4dd382ee878a314789373d80a5190a,18,18792,BUSD,0xe9e7cea3dedca5984780bafc599bd69add087d56,18,29672
ETH-KTA,0x55bfaff72021a83b0ead1091ee0e7171e0628fc9,1.338,ETH,0x2170ed0880ac9a755fd29b2688956bd959f933f8,18,18792,KTA,0x6bfb2a74ab3b3ca7d1d938c55000ebff2a50f66c,18,18792
WBNB-FROG,0xef1e930c4d4183170de0a0ff89f06a37f4b44923,0.758,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048,FROG,0xc808592e5b4585f982bc728d63b227634bc007a4,18,18792
BSCX-WBNB,0x42a2d70db8f8b843308e36dabdb9f7fa8555269c,1.103,BSCX,0x5ac52ee5b2a633895292ff6d8a89bb9190451587,18,18792,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048
USDT-BPRCY,0x1459c458db51605d16d1a69642415c0bcc6f0c8d,0.475,USDT,0x55d398326f99059ff775485246999027b3197955,18,19168,BPRCY,0xdfc3829b127761a3218bfcee7fc92e1232c9d116,8,18792
DGT-WBNB,0x9510b163b0a649b2325fe26f5cb95b1ae096f673,0.936,DGT,0x90fe761c696066672190cc62a84a2a41bc630a1b,18,18792,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048
WBNB-FLXP,0x5d44687dbd2d02956636b09ae1ed24fa50cef961,0.915,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048,FLXP,0xf15bcd34af8402ce76e231848d5f45b246027211,10,18792
USDT-VUSD,0x19d20ce0ad8bf858caf8c06f5ccbd96214346db2,0.99,USDT,0x55d398326f99059ff775485246999027b3197955,18,19168,VUSD,0xa80d76abb3087f730ce14aaf54b211611bac0be8,18,18792
$BOOLISH-WBNB,0xcff7cb8dd783e80aa0abcf893d11d46a6a725da9,0.804,$BOOLISH,0x08c9aa1e4fc83cdf1f2c0cb120c8e28f0da5c8e5,9,18792,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048
ftf-WBNB,0xa28d8f3caaec757ae0cf9a3044ff726518f7457f,1.328,ftf,0x833d178cf04c1a5a064650c2b4f60b224f33ac53,18,18792,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048
EMS-WBNB,0xe69d27a92d8cbcfd1c7f6410f107b96f0d9367c8,1.181,EMS,0x8444bd389e5db8ceaad7b95466a0b8a1939af1a9,18,18792,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048
RAILBSC-USDT,0x99f372217f1351a4f0d2c7dd84119ac9bc7724db,0.693,RAILBSC,0x3f847b01d4d498a293e3197b186356039ecd737f,18,18792,USDT,0x55d398326f99059ff775485246999027b3197955,18,19168
ESC-WBNB,0x4b122de30de9753b64a3445b5fc9acb7987d55f7,1.246,ESC,0x4b63a4348a953732d44b0d8cbff48814a661535b,7,18792,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048
USDT-ONEUSD,0x2d78217311773fe27bb2d82e47c7678684a5ec3c,0.733,USDT,0x55d398326f99059ff775485246999027b3197955,18,19168,ONEUSD,0x75f6ede296295745d9e3338d5102b9950d2a9dd1,18,18792
SCIE-WBNB,0x5eeff674962e6b2ca0920631c5e904298c00c1d4,2.561,SCIE,0x6af2f57f61cec0883c71f3175774ebeb290a10e6,9,18792,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048
WBNB-HOMI,0x81ae725098c45c4aa9214d62f8d0bd57b0cf9bce,0.986,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048,HOMI,0xf8e61529e858e6239d8a8ba8b007ee6cc2b2cbb1,18,29672
GRV-WBNB,0x0e947065e3b536e6f6ddd7c5725a323971fbb53b,1.298,GRV,0x1337ace33c2b3fc17d85f33dbd0ed73a896148b5,9,18792,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048
WBNB-BPAY,0xc531fe7f0882beb5001389a3fd124e5428baa76b,1.397,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048,BPAY,0xebc76079da0c245fae7225b58a57a54809b40618,9,18792
BKLAY-WBNB,0xfa8eb95c4ad9e909c86354be8522305585973e21,0.687,BKLAY,0x0a02d33031917d836bd7af02f9f7f6c74d67805f,18,18792,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048
ADA-BUSD,0x5c3f3b7f3851ee761648a961441cc1b474567479,0.578,ADA,0x3ee2200efb3400fabb9aacf31297cbdd1d435d47,18,18792,BUSD,0xe9e7cea3dedca5984780bafc599bd69add087d56,18,29672
