swap_pair,swap_pair_address,liquidity_USD,token_0_symbol,token_0_address,token_0_decimals,token_0_totalSupply,token_1_symbol,token_1_address,token_1_decimals,token_1_totalSupply
USDC-WBNB,0xc7632b7b2d768bbb30a404e13e1de48d1439ec21,8695.175,USDC,0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d,18,18792,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048
ETH-HUH,0xa317b66b5a9eb1a9b42e04d6319450141c473cf8,7650.097,ETH,0x2170ed0880ac9a755fd29b2688956bd959f933f8,18,18792,HUH,0xc15e89f2149bcc0cbd5fb204c9e77fe878f1e9b2,9,18792
BTEC-WBNB,0xe5f12d6436b629c7ce1762bc407df7414dbcdfc7,6918.43,BTEC,0xaf307c4ea25c8d2a7029dc0322396a6b4b00a0fc,9,18792,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048
PSR-BUSD,0x9da5d9736ef50803aefdad496e52bd74f414a487,5079.734,PSR,0xb72ba371c900aa68bb9fa473e93cfbe212030fcb,18,18792,BUSD,0xe9e7cea3dedca5984780bafc599bd69add087d56,18,29672
WBNB-HASH,0xb17ebd66542070432654d5cd3491e0b4a86e0f63,2831.179,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048,HASH,0xeb1112ac78d537853150e2a07e8b765e29d3f019,18,18792
GSTRM-BUSD,0x54b41b0666b216763e510e84748ed0e7e8e18b16,2214.017,GSTRM,0xa0d2ca44a6880c4703b48b77efd0f9d6166fc9ab,18,18792,BUSD,0xe9e7cea3dedca5984780bafc599bd69add087d56,18,29672
USDT-STAND,0x743f80ab068ca64b9d7b3a2fc61f435cd4580388,735.663,USDT,0x55d398326f99059ff775485246999027b3197955,18,19168,STAND,0xd52ac302aade798142c5aa11739fad4f3de39755,18,18792
STR-WBNB,0x92668470f7d8cad51c101fd896af2a6f8354f2c8,765.841,STR,0x30dcf96a8a0c742aa1f534fac79e99d320c97901,13,18792,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048
vsga.cc-WBNB,0x9056424066c2918a629439157e63ee09f013fa0c,1068.236,vsga.cc,0x71122b3aadce1ef7bc5bb4a2a644af0b478af548,18,18792,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048
WBNB-LUCHOW,0x0390c792056ea02aa09b94fb05e703ebd46f3ec3,549.633,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048,LUCHOW,0xe4e8e6878718bfe533702d4a6571eb74d79b0915,18,18792
YUZU-USDT,0xb57bafd26b068d50cf3e63949e391824a7a56792,717.957,YUZU,0x33ee82d2460e14c2681af45c9ebb5b1143a5510c,18,18792,USDT,0x55d398326f99059ff775485246999027b3197955,18,19168
fUSDT-WBNB,0x0e2410d85340b9706dfbe2680be3ad260b491a12,593.385,fUSDT,0x049d68029688eabf473097a2fc38ef61633a3c7a,6,18792,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048
$PAWS-WBNB,0x910216e31311c870f83ab0c17464c67958500a2e,940.843,$PAWS,0xb67aed4350ef34dbe5cb5a610c6f92574f68106a,9,18792,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048
LPK-WBNB,0xe636f3ebcf3f0a3936ef471b699d42345ad9ad1f,520.004,LPK,0x9b71b5511998e0798625b8fa74e86d8192de78c1,18,18792,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048
ETH-BTCC,0x7430d9aac7ddf415fcd3ea5d3182d09e6a0e6a6e,620.113,ETH,0x2170ed0880ac9a755fd29b2688956bd959f933f8,18,18792,BTCC,0xed4888223e94f0b8d731b181dd4b0b00cca77785,18,18792
SUSHI-BUSD,0xe0978ef5116084d8a667187f727447b2342cac53,847.807,SUSHI,0x947950bcc74888a40ffa2593c5798f11fc9124c4,18,18792,BUSD,0xe9e7cea3dedca5984780bafc599bd69add087d56,18,29672
WBNB-REEF,0x22530cf86986ef15f0a59288d37cc8c50efe3123,395.937,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048,REEF,0xf21768ccbc73ea5b6fd3c687208a7c2def2d966e,18,18792
ODT-BUSD,0x8b57c24c4de9f6a8b973f4b0e08908a5039a51b1,314.971,ODT,0x5d93211c6c3ebd63b4b2e12a8c06ab7627347a26,8,18792,BUSD,0xe9e7cea3dedca5984780bafc599bd69add087d56,18,29672
WBNB-MLTP,0x57dc98a8a77d21a87a2ddf9fedbb5eb95fedc6bf,313.634,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048,MLTP,0xf390fb7d16f2cbba037c1fc48862463116a7e545,18,18792
SPYX-WBNB,0x91fa1a248661642edad1fb8c210186539cade1f2,237.302,SPYX,0x038c8441d9dc7eabf1f4ce07979117455b1fc324,18,18792,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048
ADA-WBNB,0x9af6ca1ddd2057cf57d14cfe3e0ae14c21f7064f,324.339,ADA,0x3ee2200efb3400fabb9aacf31297cbdd1d435d47,18,18792,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048
CMC-BUSD,0xab94d448947a21b2ea115d6924ee509aa7766d78,463.97,CMC,0xc3ec94f9b9696bf406caeb0f0c53c6fe438b17fe,9,18792,BUSD,0xe9e7cea3dedca5984780bafc599bd69add087d56,18,29672
USDT-MOC,0xba984c51a6dd37dc794b31c42e88150c27270e63,281.901,USDT,0x55d398326f99059ff775485246999027b3197955,18,19168,MOC,0xe9fa9d002817e1b358a0a228c3095d18b5d69148,18,18792
POODL-USDT,0x56995f91210851ae4897b2426c215670c4380cc3,307.897,POODL,0x4a68c250486a116dc8d6a0c5b0677de07cc09c5d,9,18792,USDT,0x55d398326f99059ff775485246999027b3197955,18,19168
